Test_ID,Inputs,MMSE,MAE,MSE,RMSE,RSS,R2,Model_id,Weights
0,"[['dBiomassEst', 'dCarbon_Feed', 'Induction', 'CumulativeAge', 'miuSimp', 'Protein']]",1.00636657,0.00313107,0.00010442,0.01021856,0.01722914,0.9942446,0,1
1,"[['dBiomassEst', 'dCarbon_Feed', 'Induction', 'CumulativeAge', 'miuSimp', 'Protein'], ['Age', 'BiomassEst', 'dCarbon_Feed', 'Induction', 'CumulativeAge', 'miuSimp', 'Protein']]",1.00614525,0.00302271,9.983e-05,0.00999125,0.01647113,0.99449781,0,"[0.5780173179006728, 0.42198268209932727]"
2,"[['dBiomassEst', 'dCarbon_Feed', 'Induction', 'CumulativeAge', 'miuSimp', 'Protein'], ['Age', 'BiomassEst', 'dCarbon_Feed', 'Induction', 'CumulativeAge', 'miuSimp', 'Protein'], ['BiomassEst', 'Carbon_Feed', 'Induction', 'Protein']]",1.00599243,0.00295033,9.177e-05,0.00957945,0.01514137,0.99494202,0,"[0.36117999822921387, 0.3098491514027837, 0.3289708503680025]"
3,"[['dBiomassEst', 'dCarbon_Feed', 'Induction', 'CumulativeAge', 'miuSimp', 'Protein'], ['Age', 'BiomassEst', 'dCarbon_Feed', 'Induction', 'CumulativeAge', 'miuSimp', 'Protein'], ['BiomassEst', 'Carbon_Feed', 'Induction', 'Protein'], ['Time', 'Age', 'BioWeight', 'CPR', 'dCarbon_Feed', 'Biomass0', 'Induction', 'Protein']]",1.00577247,0.00284286,8.674e-05,0.00931349,0.01431228,0.99521898,0,"[0.26791579869383647, 0.24372665154278553, 0.25273756055061464, 0.23561998921276334]"
