Test_ID,Inputs,MMSE,MAE,MSE,RMSE,RSS,R2,Model_id,Weights
0,"['Time', 'Age', 'BiomassEst', 'Protein']",1.0955459117889403,0.039572257362306115,0.016401432733982802,0.10461635440587998,0.5000315085053444,0.7329711675643921,0
1,"['Time', 'Age', 'dBiomassEst', 'Protein']",1.0684336423873901,0.030569396540522577,0.007294889772310853,0.0822676345705986,0.22004851549863816,0.7481251001358032,1
2,"['Time', 'Age', 'BioWeight', 'Protein']",1.0847460508346558,0.034329225588589904,0.01608757965732366,0.09657550752162933,0.4885886011645198,0.7990886449813843,2
3,"['Time', 'Age', 'CPR', 'Protein']",1.1009116888046264,0.041582072339951995,0.0177475213073194,0.11757491454482079,0.5314214535057544,0.6839153110980988,3
4,"['Time', 'Age', 'Carbon_Feed', 'Protein']",1.0965896606445313,0.03925548028200865,0.01807870632619597,0.1089224424213171,0.5519612796604634,0.7297841072082519,4
5,"['Time', 'Age', 'dCarbon_Feed', 'Protein']",1.0686235427856445,0.030309962667524816,0.008003551687579602,0.08046504147350789,0.24047698341310025,0.8128496170043945,5
6,"['Time', 'Age', 'Biomass0', 'Protein']",1.1335418939590454,0.05337470136582852,0.026792473532259463,0.14919537752866746,0.805479097366333,0.32903409004211426,6
7,"['Time', 'Age', 'Induction', 'Protein']",1.052068543434143,0.02319328412413597,0.005681950878351927,0.0670538105070591,0.17108841221779586,0.8513163924217224,7
8,"['Time', 'Age', 'CumulativeAge', 'Protein']",1.1027925491333008,0.04310083650052547,0.01659092860063538,0.10717380493879318,0.5079715561121703,0.6890806496143341,8
9,"['Time', 'Age', 'miuSimp', 'Protein']",1.1058170318603515,0.04241310097277164,0.020990748424082994,0.12916824519634246,0.6295172244310379,0.5505108952522277,9
10,"['Time', 'BiomassEst', 'BioWeight', 'Protein']",1.0758584976196288,0.0317328330129385,0.012392890453338624,0.08974547497928143,0.37559842094779017,0.8287437796592713,10
11,"['Time', 'BiomassEst', 'CPR', 'Protein']",1.0836864709854126,0.03631086396053433,0.011064785276539623,0.09287404492497445,0.3397686664015055,0.7100971102714538,11
12,"['Time', 'BiomassEst', 'Carbon_Feed', 'Protein']",1.0882028341293335,0.03819184135645628,0.011819157277932391,0.09667034931480885,0.361894010566175,0.7298193633556366,12
13,"['Time', 'BiomassEst', 'dCarbon_Feed', 'Protein']",1.0715548753738404,0.03170107379555702,0.0081527397967875,0.0853108137845993,0.24505713172256946,0.7882359266281128,13
14,"['Time', 'BiomassEst', 'Biomass0', 'Protein']",1.1250337362289429,0.05113257579505444,0.022768555767834188,0.13644279539585114,0.6870715588331222,0.5223910748958588,14
15,"['Time', 'BiomassEst', 'Induction', 'Protein']",1.0482617378234864,0.021899081580340863,0.004463594109984115,0.06101888213306665,0.13528275033459067,0.8625502943992615,15
16,"['Time', 'BiomassEst', 'CumulativeAge', 'Protein']",1.0849483013153076,0.03641272559762001,0.01212285617366433,0.09591761752963066,0.36687657460570333,0.7481391906738282,16
17,"['Time', 'BiomassEst', 'miuSimp', 'Protein']",1.0951969146728515,0.04021847676485777,0.014759983902331441,0.10596559792757035,0.45380372889339926,0.6989203453063965,17
18,"['Time', 'dBiomassEst', 'BioWeight', 'Protein']",1.0507291555404663,0.022845315095037223,0.0050385092559736225,0.06301219053566456,0.15271816784515976,0.8761776089668274,18
19,"['Time', 'dBiomassEst', 'CPR', 'Protein']",1.0730227947235107,0.03279329277575016,0.007436169916763902,0.08241999670863151,0.22087489813566208,0.7469871759414672,19
20,"['Time', 'dBiomassEst', 'Carbon_Feed', 'Protein']",1.0655394792556763,0.02966386787593365,0.0062118055007886145,0.07245990745723248,0.18696825988590718,0.8270493626594544,20
21,"['Time', 'dBiomassEst', 'dCarbon_Feed', 'Protein']",1.0625301361083985,0.02792071904987097,0.00668867930653505,0.07449816055595875,0.19995047021657228,0.8277812004089355,21
22,"['Time', 'dBiomassEst', 'Biomass0', 'Protein']",1.0887524127960204,0.03896982967853546,0.010812686383724212,0.10112932026386261,0.3227389186620712,0.6697643816471099,22
23,"['Time', 'dBiomassEst', 'Induction', 'Protein']",1.0407421827316283,0.018731330148875715,0.003279550943989307,0.05274907164275646,0.09870193600654602,0.888039743900299,23
24,"['Time', 'dBiomassEst', 'CumulativeAge', 'Protein']",1.0614113092422486,0.027716314047575,0.0059786491561681036,0.07539812996983528,0.17814791053533555,0.7800116896629333,24
25,"['Time', 'dBiomassEst', 'miuSimp', 'Protein']",1.0867128133773805,0.03738079387694597,0.011951199197210372,0.09552554115653038,0.3636905450373888,0.7436415672302246,25
26,"['Time', 'BioWeight', 'CPR', 'Protein']",1.0804250717163086,0.03340662438422441,0.013611820910591632,0.09323111996054649,0.41385452914983034,0.80376136302948,26
27,"['Time', 'BioWeight', 'Carbon_Feed', 'Protein']",1.0802201747894287,0.03285287301987409,0.014514420484192669,0.0947484739124775,0.4412275470793247,0.8053430914878845,27
28,"['Time', 'BioWeight', 'dCarbon_Feed', 'Protein']",1.07481849193573,0.032297635823488234,0.010223264247179032,0.0873371608555317,0.3112498201429844,0.8012335300445557,28
29,"['Time', 'BioWeight', 'Biomass0', 'Protein']",1.0936594486236573,0.03812534771859646,0.017408766178414227,0.10830493420362472,0.5253593467175961,0.7235820174217225,29
30,"['Time', 'BioWeight', 'Induction', 'Protein']",1.0443350791931152,0.02040909919887781,0.003516863286495209,0.05492989532649517,0.10664969459176063,0.9013810515403747,30
