Test_ID,Inputs,MMSE,MAE,MSE,RMSE,RSS,R2
1,"['Time', 'Age', 'BiomassEst', 'Protein']",2.111197996139526,0.2289101889356971,0.6533775684656575,0.4279616676270962,17.311128443852066,-1786.4353751659394
2,"['Time', 'Age', 'dBiomassEst', 'Protein']",2.104369568824768,0.22738498859107495,0.649599556485191,0.43220145255327225,17.21046515107155,-1602.5942279577255
3,"['Time', 'Age', 'BioWeight', 'Protein']",2.1217703819274902,0.2349169421941042,0.6519364524167031,0.44184026643633845,17.280865839123727,-573.5516354441643
4,"['Time', 'Age', 'CPR', 'Protein']",2.112213683128357,0.22831906378269196,0.655575492355274,0.42717137914150954,17.368619312858208,-4090.7674642562865
5,"['Time', 'Age', 'Carbon_Feed', 'Protein']",2.113876461982727,0.2301716785877943,0.6535330320708453,0.4331589464098215,17.314672175049783,-1039.1761789858342
6,"['Time', 'Age', 'dCarbon_Feed', 'Protein']",2.0975922346115112,0.2237304724752903,0.6501313558401307,0.4190437426790595,17.22676030630246,-1632.4148462831974
7,"['Time', 'Age', 'Biomass0', 'Protein']",2.09694619178772,0.22246020664460958,0.6520259006074411,0.41320207067765297,17.28264897358604,-368.49734995365145
8,"['Time', 'Age', 'Induction', 'Protein']",2.0952810287475585,0.22275134990923107,0.6497783376712277,0.41312227584421635,17.214326071456163,-2973.180080783367
9,"['Time', 'Age', 'CumulativeAge', 'Protein']",2.10310845375061,0.22651650076732038,0.6500754578271881,0.4214933656156063,17.223782785609366,-2394.9766475200654
10,"['Time', 'Age', 'miuSimp', 'Protein']",2.0882239818572996,0.22131876470521092,0.6455863580093137,0.410454223677516,17.107649783196393,-683.5935258924961
11,"['Time', 'BiomassEst', 'dBiomassEst', 'Protein']",2.097203755378723,0.2235478782793507,0.6501080260117306,0.41928467927500607,17.224295845790767,-4030.0955169677736
12,"['Time', 'BiomassEst', 'BioWeight', 'Protein']",2.0342605352401733,0.21045369813218712,0.6133531547617167,0.3891403079032898,16.255969398841263,-38.26909180879593
13,"['Time', 'BiomassEst', 'CPR', 'Protein']",2.117440438270569,0.22992842765524985,0.6575837333046366,0.4310421906411648,17.422481483966113,-2237.8484933257105
14,"['Time', 'BiomassEst', 'Carbon_Feed', 'Protein']",2.1258685111999513,0.23460507281124593,0.6566584483720362,0.4409228481352329,17.39516874626279,-2818.0085515856745
15,"['Time', 'BiomassEst', 'dCarbon_Feed', 'Protein']",2.100027847290039,0.2244184598326683,0.6511909299297258,0.41508846655488013,17.25549372881651,-893.0665039360523
16,"['Time', 'BiomassEst', 'Biomass0', 'Protein']",2.1054827213287353,0.22654605135321618,0.6523905999725684,0.4203901119530201,17.298387309536338,-313.2401446461678
17,"['Time', 'BiomassEst', 'Induction', 'Protein']",2.0744465351104737,0.21586463181301951,0.6427173275678797,0.3951146801002324,17.026590079709422,-4002.484698742628
18,"['Time', 'BiomassEst', 'CumulativeAge', 'Protein']",2.1084997415542603,0.22826544977724553,0.6519688344560564,0.42688761427998545,17.272474359720945,-2915.609632122517
19,"['Time', 'BiomassEst', 'miuSimp', 'Protein']",2.112076163291931,0.22825914062559605,0.6555576778016985,0.4312660157680511,17.365962789952754,-5210.083679819107
20,"['Time', 'dBiomassEst', 'BioWeight', 'Protein']",2.1311690330505373,0.23721806108951568,0.6567329561104998,0.4553061105310917,17.421422398090364,-3218.502604794502
21,"['Time', 'dBiomassEst', 'CPR', 'Protein']",2.1075838565826417,0.22744045928120613,0.6527030434459448,0.427717450261116,17.293064203858375,-1070.1553484857081
22,"['Time', 'dBiomassEst', 'Carbon_Feed', 'Protein']",2.1079970359802247,0.22677190694957972,0.6544532863947097,0.42951998189091684,17.332404410559683,-9904.694853413104
23,"['Time', 'dBiomassEst', 'dCarbon_Feed', 'Protein']",2.1259589433670043,0.23294242434203624,0.6600740604568273,0.4375532828271389,17.48639401420951,-3091.5346051216125
24,"['Time', 'dBiomassEst', 'Biomass0', 'Protein']",2.0980870485305787,0.22099925437942147,0.6560886011713591,0.4050193808041513,17.39208581309067,-123.59163187742233
25,"['Time', 'dBiomassEst', 'Induction', 'Protein']",2.112237286567688,0.22820224431343378,0.6558328693959993,0.43175036357715724,17.344274155201855,-23985.937214148045
26,"['Time', 'dBiomassEst', 'CumulativeAge', 'Protein']",2.1003469705581663,0.22420252226293086,0.6519420557189732,0.4179010629653931,17.27219147607684,-2356.837612044811
27,"['Time', 'dBiomassEst', 'miuSimp', 'Protein']",2.1052143812179565,0.22784343753010033,0.64952750694938,0.4326034918427467,17.20673562437296,-3352.1006377637386
28,"['Time', 'BioWeight', 'CPR', 'Protein']",2.118882966041565,0.23239452708512545,0.6540938241640106,0.4371990777552128,17.335584523156285,-1550.0503496527672
29,"['Time', 'BioWeight', 'Carbon_Feed', 'Protein']",2.095726799964905,0.22412523900857195,0.6474763472712312,0.41597892160061745,17.170067911608932,-286.31585701704023
30,"['Time', 'BioWeight', 'dCarbon_Feed', 'Protein']",2.126124930381775,0.23554444639012218,0.6550359733591904,0.43985845297575,17.358793394314127,-4304.673798310757
31,"['Time', 'BioWeight', 'Biomass0', 'Protein']",2.0795144557952883,0.21656993636861444,0.6463745216140524,0.40514838956296445,17.127585868164896,-280.9152501702309
32,"['Time', 'BioWeight', 'Induction', 'Protein']",2.110132265090942,0.22887358930893242,0.6523849738907301,0.43448102977126835,17.28993081408553,-5244.732167267799
33,"['Time', 'BioWeight', 'CumulativeAge', 'Protein']",2.1129687786102296,0.24028242342174053,0.6324039842467755,0.45771532952785493,16.765386877954008,-5563.800164604187
