Test_ID,Inputs,MMSE,MAE,MSE,RMSE,RSS,R2,Model_id,Weights
0,"[['Age', 'BiomassEst', 'dBiomassEst', 'dCarbon_Feed', 'Induction', 'miuSimp', 'Protein']]",1.10208186,0.0469151,0.00825167,0.09083868,0.14852998,0.93841388,0,1
1,"[['Age', 'BiomassEst', 'dBiomassEst', 'dCarbon_Feed', 'Induction', 'miuSimp', 'Protein'], ['BiomassEst', 'CPR', 'dCarbon_Feed', 'Induction', 'CumulativeAge', 'miuSimp', 'Protein']]",1.10695774,0.04921701,0.00852373,0.09232405,0.15342715,0.93638333,0,"[0.5095737841365545, 0.4904262158634455]"
2,"[['Age', 'BiomassEst', 'dBiomassEst', 'dCarbon_Feed', 'Induction', 'miuSimp', 'Protein'], ['BiomassEst', 'CPR', 'dCarbon_Feed', 'Induction', 'CumulativeAge', 'miuSimp', 'Protein'], ['BiomassEst', 'dBiomassEst', 'BioWeight', 'CPR', 'Carbon_Feed', 'dCarbon_Feed', 'Induction', 'CumulativeAge', 'Protein']]",1.11747962,0.05355125,0.01037712,0.10186815,0.18678816,0.92255059,0,"[0.35436959386208433, 0.34868378822207186, 0.2969466179158438]"
3,"[['Age', 'BiomassEst', 'dBiomassEst', 'dCarbon_Feed', 'Induction', 'miuSimp', 'Protein'], ['BiomassEst', 'CPR', 'dCarbon_Feed', 'Induction', 'CumulativeAge', 'miuSimp', 'Protein'], ['BiomassEst', 'dBiomassEst', 'BioWeight', 'CPR', 'Carbon_Feed', 'dCarbon_Feed', 'Induction', 'CumulativeAge', 'Protein'], ['Time', 'BiomassEst', 'dBiomassEst', 'Carbon_Feed', 'dCarbon_Feed', 'Induction', 'Protein']]",1.11054017,0.05051822,0.00950373,0.09748708,0.17106715,0.92906912,0,"[0.26838141722729975, 0.2658455184358374, 0.24277047226648674, 0.2230025920703761]"
