Test_ID,Inputs,MMSE,MAE,MSE,RMSE,RSS,R2
53,"['Time', 'Induction', 'CumulativeAge', 'Protein']",1.1855231523513794,0.08145883555213611,0.022605402395129204,0.14434061696132025,0.4068972319364548,0.5534626344839731
54,"['Time', 'Induction', 'miuSimp', 'Protein']",1.1464038292566936,0.06619916607936223,0.014005497718850771,0.1180026705066363,0.2520989626646042,0.777022103468577
55,"['Time', 'CumulativeAge', 'miuSimp', 'Protein']",1.1764002641042073,0.07667239755392075,0.0230554419880112,0.1381771688659986,0.4149979626139005,0.23674090703328451
56,"['Age', 'BiomassEst', 'dBiomassEst', 'Protein']",1.431829531987508,0.15922739232579866,0.11337473678092162,0.2792422945300738,2.0407453353206315,-3.488134503364563
57,"['Age', 'BiomassEst', 'BioWeight', 'Protein']",1.2049092451731365,0.08839177340269089,0.02812568750232458,0.15947367995977402,0.506262386838595,0.3679990967114766
58,"['Age', 'BiomassEst', 'CPR', 'Protein']",1.2105460961659749,0.09077229350805283,0.029001570927600067,0.16175565123558044,0.5220282872517904,0.24690397580464682
59,"['Age', 'BiomassEst', 'Carbon_Feed', 'Protein']",1.1778460343678792,0.07607986343403657,0.025686283964508522,0.13366087339818478,0.4623531174535553,0.39968576033910114
60,"['Age', 'BiomassEst', 'dCarbon_Feed', 'Protein']",1.1977512041727703,0.08583411450187366,0.026083020803829033,0.15041723102331161,0.46949437260627747,0.33428200085957843
61,"['Age', 'BiomassEst', 'Biomass0', 'Protein']",1786.731205066045,10.292960358162722,1765.145216963254,24.322323168317478,31772.614556385204,-216619.1283929348
62,"['Age', 'BiomassEst', 'Induction', 'Protein']",1.1352397203445435,0.06067350506782532,0.013892784093817076,0.11367202550172806,0.25007011244694394,0.6375050743420919
63,"['Age', 'BiomassEst', 'CumulativeAge', 'Protein']",1.2147777875264485,0.09057959169149399,0.03361867414787412,0.15870230148235956,0.6051361386974653,-0.14812115828196207
64,"['Age', 'BiomassEst', 'miuSimp', 'Protein']",1.1789339780807495,0.07850206643342972,0.021929811375836532,0.1362824613849322,0.3947366029024124,0.43685994545618695
65,"['Age', 'dBiomassEst', 'BioWeight', 'Protein']",1.116734504699707,0.052769129474957786,0.011196177452802658,0.0998961552977562,0.2015311953922113,0.747570276260376
66,"['Age', 'dBiomassEst', 'CPR', 'Protein']",1.1659117937088013,0.07368134086330731,0.018549052998423576,0.13345209260781607,0.3338829576969147,0.6632600824038187
67,"['Age', 'dBiomassEst', 'Carbon_Feed', 'Protein']",1.1959975957870483,0.08564446121454239,0.02470862741271655,0.15373394886652628,0.44475529591242474,0.44798431793848675
68,"['Age', 'dBiomassEst', 'dCarbon_Feed', 'Protein']",1.149335265159607,0.06700045491258304,0.015334375202655792,0.12231851369142532,0.276018758614858,0.7006925046443939
69,"['Age', 'dBiomassEst', 'Biomass0', 'Protein']",2916.8891496658325,14.941292934119701,2886.0065230879313,31.08196011930704,51948.11741558214,-322198.94472352666
70,"['Age', 'dBiomassEst', 'Induction', 'Protein']",1.1409457127253215,0.06330091878771782,0.014343873287240664,0.11796506245930989,0.25818971792856854,0.7720569769541422
71,"['Age', 'dBiomassEst', 'CumulativeAge', 'Protein']",1.1613742113113403,0.0716771421333154,0.018019913074870903,0.1250016838312149,0.3243584285179774,0.528090218702952
72,"['Age', 'dBiomassEst', 'miuSimp', 'Protein']",1.1489472389221191,0.06695109109083812,0.015045092906802893,0.1200883612036705,0.27081167201201123,0.6340276996294657
73,"['Age', 'BioWeight', 'CPR', 'Protein']",1.2364517450332642,0.1004244014620781,0.03560293543462952,0.16441069543361664,0.6408528611063957,0.15399388472239176
74,"['Age', 'BioWeight', 'Carbon_Feed', 'Protein']",1.1555042266845703,0.06942982350786527,0.016644629494597513,0.12384856243928273,0.2996033305923144,0.696581761042277
75,"['Age', 'BioWeight', 'dCarbon_Feed', 'Protein']",1.2185503641764324,0.09419103463490804,0.03016831198086341,0.16450098156929016,0.5430296212434769,0.5681220690409342
76,"['Age', 'BioWeight', 'Biomass0', 'Protein']",1.1925344467163086,0.07791899144649506,0.03669645714884003,0.15920385966698328,0.6605362376819054,-1.5399860342343648
77,"['Age', 'BioWeight', 'Induction', 'Protein']",1.1451770464579265,0.06495781739552815,0.015261437588681778,0.11629942059516907,0.2747058793902397,0.784278134504954
78,"['Age', 'BioWeight', 'CumulativeAge', 'Protein']",1.1291639407475789,0.05707128283878168,0.01502136435980598,0.10659487421313922,0.2703845612704754,0.595048189163208
79,"['Age', 'BioWeight', 'miuSimp', 'Protein']",1.1320343414942424,0.05925362929701805,0.013527081658442816,0.11470791697502136,0.24348747233549753,0.7282635072867075
80,"['Age', 'CPR', 'Carbon_Feed', 'Protein']",1.2375024159749348,0.10020603363712628,0.037090390299757324,0.17442243049542108,0.6676270415385565,0.09259976943333943
81,"['Age', 'CPR', 'dCarbon_Feed', 'Protein']",1.1673763990402222,0.07311094552278519,0.021154488902539015,0.12946652372678122,0.3807808111111323,0.43273963530858356
82,"['Age', 'CPR', 'Biomass0', 'Protein']",36.085868994394936,1.728324790795644,31.629220730935533,3.3156015475591025,569.3259935006499,-3251.743421415488
83,"['Age', 'CPR', 'Induction', 'Protein']",1.1362893184026082,0.061488294353087745,0.013312754221260548,0.11349749565124512,0.23962957660357156,0.681715210278829
84,"['Age', 'CPR', 'CumulativeAge', 'Protein']",1.3212273915608723,0.13165116806825003,0.057925061943630375,0.21916306018829346,1.0426511267820995,-0.6664541761080424
85,"['Age', 'CPR', 'miuSimp', 'Protein']",1.1791733900705974,0.0779343917965889,0.023304681448886793,0.13765105480949083,0.4194842800498009,0.474234938621521
86,"['Age', 'Carbon_Feed', 'dCarbon_Feed', 'Protein']",1.1853721539179485,0.08071466907858849,0.0239428267814219,0.1457939917842547,0.43097088237603504,0.5280003746350607
87,"['Age', 'Carbon_Feed', 'Biomass0', 'Protein']",1.182876745859782,0.07440693862736225,0.03406288990906129,0.1468992419540882,0.6131319974859556,-1.5203394691149394
88,"['Age', 'Carbon_Feed', 'Induction', 'Protein']",1.1626355250676472,0.07250206172466278,0.017631419313450653,0.13248021403948465,0.31736554702123004,0.7365140120188395
89,"['Age', 'Carbon_Feed', 'CumulativeAge', 'Protein']",1.1622766256332397,0.0714242768784364,0.01942798976475994,0.1279652938246727,0.3497038309772809,0.5624687969684601
