Inputs,MMSE,MAE,MSE,RMSE,RSS,R2
"['BiomassEst', 'BioWeight', 'CPR', 'dCarbon_Feed', 'Induction', 'Protein']",1.1195322275161743,0.0546480752527713,0.010236065989981,0.1000658224026362,0.1842491875092188,0.8142842451731364
"['Time', 'Age', 'BiomassEst', 'CumulativeAge', 'Protein']",1.1232140064239502,0.0547220669686794,0.0137698736507445,0.0955661522845427,0.2478577227642139,0.5611761609713236
"['Age', 'Carbon_Feed', 'dCarbon_Feed', 'Induction', 'miuSimp', 'Protein']",1.120684027671814,0.0551716325183709,0.0103408039237062,0.1012539143363634,0.186134472489357,0.8120046456654867
"['dBiomassEst', 'CPR', 'dCarbon_Feed', 'Induction', 'miuSimp', 'Protein']",1.120898167292277,0.0552101383606592,0.0104778238261739,0.0995569700996081,0.1886008257667223,0.7828981876373291
"['Age', 'CPR', 'dCarbon_Feed', 'Induction', 'miuSimp', 'Protein']",1.1229474941889446,0.0558872719605763,0.0111729353666305,0.1027054538329442,0.2011128316322962,0.7472514013449351
"['Age', 'Carbon_Feed', 'miuSimp', 'Protein']",1.123209555943807,0.056024237225453,0.0111610687648256,0.1051046972473462,0.2008992383877436,0.7919472654660543
"['dBiomassEst', 'Carbon_Feed', 'Induction', 'CumulativeAge', 'Protein']",1.124627709388733,0.0560295507311821,0.0125686481284598,0.1029880804320176,0.2262356753150622,0.7367979983488718
"['Age', 'BioWeight', 'CPR', 'dCarbon_Feed', 'Induction', 'Protein']",1.1255958080291748,0.0561633482575416,0.0132691174124677,0.1051764339208602,0.2388441090782483,0.6147621075312296
"['Time', 'BiomassEst', 'CPR', 'CumulativeAge', 'Protein']",1.124292016029358,0.0563357404122749,0.0116204842148969,0.1006761739651362,0.2091687122980753,0.760382761557897
"['Age', 'BioWeight', 'Carbon_Feed', 'dCarbon_Feed', 'miuSimp', 'Protein']",1.1250024636586506,0.0563448922087748,0.0123126720233509,0.1036143687864144,0.22162809719642,0.7564931511878967
"['Age', 'BioWeight', 'Carbon_Feed', 'CumulativeAge', 'miuSimp', 'Protein']",1.1263182163238523,0.0566806805630525,0.0129568607856829,0.1062030022342999,0.2332234904170036,0.7171717584133148
