Inputs,MMSE,MAE,MSE,RMSE,RSS,R2
"['Time', 'Age', 'BioWeight', 'CPR', 'dCarbon_Feed', 'Induction', 'CumulativeAge', 'Protein']",1.0453659772872923,0.0206462061032652,0.0040735606802627,0.0604978539049625,0.124030515551567,0.5836729764938354
"['BiomassEst', 'dBiomassEst', 'BioWeight', 'CPR', 'Induction', 'miuSimp', 'Protein']",1.0451481819152832,0.0206776931881904,0.0037927751196548,0.0602014847099781,0.1148135013878345,0.684416887909174
"['Age', 'BiomassEst', 'Carbon_Feed', 'dCarbon_Feed', 'Induction', 'Protein']",1.045461130142212,0.0206876788288354,0.0040857837069779,0.0624073103070259,0.1231394335627555,0.6924091443419457
"['BiomassEst', 'CPR', 'dCarbon_Feed', 'Induction', 'CumulativeAge', 'miuSimp', 'Protein']",1.045493197441101,0.0207783162593841,0.0039365803590044,0.0606094427406787,0.1180834248661995,0.7430881530046463
"['Time', 'BiomassEst', 'BioWeight', 'Carbon_Feed', 'dCarbon_Feed', 'Induction', 'CumulativeAge', 'Protein']",1.0456177711486816,0.0208522114902734,0.0039133409969508,0.0604664519429206,0.1187711708247661,0.7158192813396453
"['Time', 'BiomassEst', 'BioWeight', 'Carbon_Feed', 'dCarbon_Feed', 'Induction', 'CumulativeAge', 'miuSimp', 'Protein']",1.045591306686401,0.0208687944337725,0.0038537291111424,0.0599765613675117,0.1170968547463417,0.6748751550912857
"['Time', 'Age', 'BioWeight', 'Carbon_Feed', 'dCarbon_Feed', 'Induction', 'CumulativeAge', 'Protein']",1.0457664489746097,0.0210153402760624,0.0037357810651883,0.0597937732934951,0.1124300427734851,0.7006286635994912
"['Time', 'BiomassEst', 'BioWeight', 'CPR', 'dCarbon_Feed', 'Biomass0', 'Induction', 'CumulativeAge', 'Protein']",1.0460216283798218,0.0210870999842882,0.0038474258733913,0.0595559291541576,0.1170554742217064,0.7199618816375732
"['BiomassEst', 'Carbon_Feed', 'dCarbon_Feed', 'Biomass0', 'Induction', 'miuSimp', 'Protein']",1.046370005607605,0.0210923735052347,0.0041852356866002,0.0620698548853397,0.1272374719381332,0.671296888589859
"['Time', 'BiomassEst', 'BioWeight', 'Carbon_Feed', 'Biomass0', 'Induction', 'CumulativeAge', 'miuSimp', 'Protein']",1.0464296340942385,0.0211043963208794,0.0042208386817947,0.060508969426155,0.1294676765799522,0.7224155962467194
"['Time', 'Age', 'dBiomassEst', 'CPR', 'Biomass0', 'Induction', 'Protein']",1.0469758749008178,0.0211462473496794,0.0046833600150421,0.0632213085889816,0.1407820809632539,0.6781398534774781
"['Time', 'Age', 'Carbon_Feed', 'Biomass0', 'Induction', 'miuSimp', 'Protein']",1.046361756324768,0.0212346740067005,0.0038923802552744,0.0598328731954097,0.1178099207580089,0.6807972632348538
