Test_ID,Inputs,MMSE,MAE,MSE,RMSE,RSS,R2,Model_id,Weights
0,"[['Age', 'BiomassEst', 'dBiomassEst', 'dCarbon_Feed', 'Induction', 'miuSimp', 'Protein']]",1.0066199,0.00325679,0.00010633,0.01031143,0.01754373,0.99413951,0,1
1,"[['Age', 'BiomassEst', 'dBiomassEst', 'dCarbon_Feed', 'Induction', 'miuSimp', 'Protein'], ['BiomassEst', 'CPR', 'dCarbon_Feed', 'Induction', 'CumulativeAge', 'miuSimp', 'Protein']]",1.00639307,0.0031451,0.00010287,0.01014236,0.01697313,0.99433012,0,"[0.5101761549836481, 0.48982384501635196]"
2,"[['Age', 'BiomassEst', 'dBiomassEst', 'dCarbon_Feed', 'Induction', 'miuSimp', 'Protein'], ['BiomassEst', 'CPR', 'dCarbon_Feed', 'Induction', 'CumulativeAge', 'miuSimp', 'Protein'], ['BiomassEst', 'dBiomassEst', 'BioWeight', 'CPR', 'Carbon_Feed', 'dCarbon_Feed', 'Induction', 'CumulativeAge', 'Protein']]",1.00624193,0.00307337,9.519e-05,0.00975673,0.01570697,0.99475308,0,"[0.3421907503168569, 0.33563373436523347, 0.3221755153179096]"
3,"[['Age', 'BiomassEst', 'dBiomassEst', 'dCarbon_Feed', 'Induction', 'miuSimp', 'Protein'], ['BiomassEst', 'CPR', 'dCarbon_Feed', 'Induction', 'CumulativeAge', 'miuSimp', 'Protein'], ['BiomassEst', 'dBiomassEst', 'BioWeight', 'CPR', 'Carbon_Feed', 'dCarbon_Feed', 'Induction', 'CumulativeAge', 'Protein'], ['Time', 'BiomassEst', 'dBiomassEst', 'Carbon_Feed', 'dCarbon_Feed', 'Induction', 'Protein']]",1.00623063,0.00306692,9.679e-05,0.00983823,0.01597049,0.99466505,0,"[0.29367797699327974, 0.29203028647696894, 0.28864841581288747, 0.12564332071686393]"
